enzyme_id,enzyme_name,accession,ec_number,organism,recommended_source,retrieval_url,retrieval_date,recovery_status,confidence_grade,reason
ENZ004,TfCut2 (Thermobifida fusca cutinase),Q6A0I4,3.1.1.74,Thermobifida fusca,UniProt (official public source only),https://rest.uniprot.org/uniprotkb/Q6A0I4.fasta,,not_recovered_no_auto_download,unknown,"No sequence in any local source; recovery requires an explicit, user-approved download against a verified identifier. Not guessed."
ENZ005,BurPL (PET hydrolase),A0A1F4JXW8,3.1.1.101,"Burkholderiales bacterium (homolog source, uncertain)",UniProt (official public source only),https://rest.uniprot.org/uniprotkb/A0A1F4JXW8.fasta,,not_recovered_no_auto_download,unknown,"No sequence in any local source; recovery requires an explicit, user-approved download against a verified identifier. Not guessed."
ENZ007,NylC (6-aminohexanoate-oligomer endohydrolase),Q79F77,3.5.1.117,Paenarthrobacter sp. KI72,UniProt (official public source only),https://rest.uniprot.org/uniprotkb/Q79F77.fasta,,not_recovered_no_auto_download,unknown,"No sequence in any local source; recovery requires an explicit, user-approved download against a verified identifier. Not guessed."
ENZ008,PueA (polyurethanase A),,,Pseudomonas chlororaphis,UniProt (official public source only),,,not_recovered_no_auto_download,unknown,"No sequence in any local source; recovery requires an explicit, user-approved download against a verified identifier. Not guessed."
ENZ009,PueB (polyurethanase B),,,Pseudomonas chlororaphis,UniProt (official public source only),,,not_recovered_no_auto_download,unknown,"No sequence in any local source; recovery requires an explicit, user-approved download against a verified identifier. Not guessed."
